aX,aY,aZ,gX,gY,gZ,ss
0.100,0.191,-0.913,-1.099,3.174,4.272,23.43
0.219,0.207,-1.044,-1.038,2.869,4.578,23.43
0.290,0.115,-1.036,-1.465,5.127,4.639,23.43
0.249,0.093,-0.809,-2.258,6.958,4.517,23.43
0.117,0.189,-0.633,-1.770,6.042,4.333,23.43
0.018,0.200,-1.042,-1.648,2.014,4.089,23.43
0.146,0.137,-1.206,-2.808,0.549,4.150,23.43
0.274,0.004,-1.015,-2.869,2.869,4.150,23.43
0.233,0.025,-0.843,-2.136,5.249,4.578,23.43
0.139,0.248,-0.711,-1.648,5.676,4.700,23.43
0.106,0.247,-0.949,-3.296,5.493,4.272,23.43
0.053,0.085,-0.920,-3.784,5.310,4.395,23.43
0.062,0.090,-1.001,-3.784,3.967,4.272,23.43
0.169,0.161,-1.004,-3.784,1.587,4.211,23.43
0.270,0.054,-1.148,-4.761,2.502,3.723,23.43
0.288,-0.033,-0.985,-4.517,4.822,3.845,24.20
0.277,0.051,-0.877,-3.235,5.615,4.700,24.20
0.184,0.154,-0.919,-1.770,5.859,4.456,24.20
0.030,0.167,-0.940,-1.465,4.028,4.211,24.20
0.181,0.085,-1.031,-2.991,3.052,4.333,24.20
0.255,0.025,-1.049,-4.150,3.418,4.333,24.20
0.269,0.077,-0.925,-4.211,5.005,4.517,24.20
0.158,0.098,-0.989,-2.319,3.967,4.578,24.20
0.172,0.078,-1.214,-2.441,2.075,4.333,24.20
0.158,-0.033,-1.091,-3.540,3.784,4.456,24.20
-0.013,-0.006,-0.944,-4.150,5.371,4.395,24.20
-0.126,0.083,-0.967,-2.014,3.845,4.639,24.20
-0.074,-0.001,-1.187,-2.441,1.709,3.906,24.20
0.012,-0.077,-1.194,-4.883,2.563,3.601,24.20
0.165,0.053,-1.057,-1.892,3.479,4.211,24.20
0.288,0.188,-1.005,-0.671,4.761,4.761,24.20
0.299,0.168,-0.849,-3.723,6.348,3.967,24.20
0.174,0.055,-0.809,-4.028,5.249,4.089,24.20
0.144,0.088,-0.826,-2.808,4.761,4.761,24.20
0.128,0.182,-0.680,-2.930,1.343,4.272,24.20
0.155,0.102,-1.023,-3.662,-0.671,3.601,24.20
0.114,-0.044,-1.230,-3.662,14.954,3.479,24.20
0.118,-0.030,-1.139,-3.723,2.686,3.906,24.20
0.128,0.113,-1.011,-2.930,4.333,4.272,24.20
